time,open,high,low,close,volume,funding_rate_8h,funding_rate_24h_sum,funding_rate_3d_sum,funding_zscore,funding_extreme_long,funding_extreme_short,taker_buy_vol,taker_sell_vol,volume_delta,buy_ratio,buy_ratio_ma10,buy_ratio_zscore,cum_delta_3bar,delta_ma,n_trades,delta_price_agree,delta_price_diverge,funding_reversal_long,funding_reversal_short
2025-05-20 20:00:00+00:00,2501.29,2541.03,2485.1,2524.19,100070.3757,1.174e-05,0.00015993999999999983,0.00037185999999999984,-1.2453404790648497,0.0,0.0,488588.083,496340.431,-7752.347999999998,0.49606451235302546,0.49633425051034363,0.32082991207242534,-67473.03500000015,-26513.073400000052,967782.0,0,1,0,0
2025-05-21 00:00:00+00:00,2524.19,2554.5,2509.0,2544.98,94538.6309,3.663e-05,0.00011643999999999984,0.0003548299999999999,-0.5513954787234188,0.0,0.0,377281.936,403198.02300000004,-25916.087000000058,0.4833973398668651,0.49430225204065276,-0.3114647919333767,-32927.533999999985,-27253.16720000006,855583.0,0,1,0,0
2025-05-21 04:00:00+00:00,2544.98,2615.95,2534.52,2551.87,184170.6385,3.663e-05,0.00011643999999999984,0.0003548299999999999,-0.5513954787234188,0.0,0.0,799588.507,830592.9450000001,-31004.438000000082,0.4904904947967718,0.4930291889200455,0.09797638331189484,-64672.87300000014,-24878.71200000007,1432498.0,0,1,0,0
2025-05-21 08:00:00+00:00,2551.87,2562.15,2515.38,2536.65,101973.1883,3.663e-05,0.00011643999999999984,0.0003548299999999999,-0.5513954787234188,0.0,0.0,517470.206,569662.132,-52191.92599999998,0.4759955967752658,0.4901541884640605,-0.6623485514904457,-109112.45100000012,-23224.77960000002,936768.0,1,0,0,0
2025-05-21 12:00:00+00:00,2536.64,2582.18,2522.22,2567.01,196379.57,9.338e-05,0.00014174999999999984,0.0003991199999999999,0.9170185834426927,0.0,0.0,800581.367,795478.191,5103.175999999978,0.5015986796903728,0.4893358829556407,0.6981040522105924,-78093.18800000008,-22352.32460000004,1462835.0,1,0,0,0
2025-05-21 16:00:00+00:00,2567.02,2615.34,2452.2,2512.79,394137.9188,9.338e-05,0.00014174999999999984,0.0003991199999999999,0.9170185834426927,0.0,0.0,2119407.874,2163720.0480000004,-44312.17400000058,0.4948271246146544,0.4883773349150581,0.308571660026652,-91400.92400000058,-29664.289800000155,2861068.0,1,0,0,0
2025-05-21 20:00:00+00:00,2512.75,2597.92,2486.25,2550.99,124690.3437,6.47e-06,0.00013647999999999986,0.0004042899999999998,-1.3093099201827985,0.0,0.0,597880.859,625184.688,-27303.82899999991,0.48883795350667336,0.48847730041892257,-0.13251014995039087,-66512.82700000051,-29941.838200000126,1209114.0,0,1,0,0
2025-05-22 00:00:00+00:00,2551.0,2647.8,2544.83,2629.24,193398.7709,6.47e-06,0.00013647999999999986,0.0004042899999999998,-1.3093099201827985,0.0,0.0,753618.585,726699.325,26919.26000000001,0.5090923915120368,0.491801749401218,1.0981918584559895,-44696.74300000048,-18357.098600000107,1676685.0,1,0,0,0
2025-05-22 04:00:00+00:00,2629.24,2647.5,2602.78,2635.19,186391.5049,1.141e-05,0.00011125999999999984,0.00046494999999999984,-1.1092053116033953,0.0,0.0,600798.138,638275.916,-37477.77799999993,0.4848766997101531,0.49254566905590574,-0.49352659560319034,-37862.346999999834,-15414.269000000098,1330020.0,0,1,0,0
2025-05-22 08:00:00+00:00,2635.19,2692.99,2627.32,2650.75,187811.6911,0.0001,0.00011787999999999984,0.0004996399999999999,1.1137722142979882,0.0,0.0,783733.245,806054.8069999999,-22321.561999999918,0.4929797050707738,0.49181604978965926,0.02249601027682527,-32880.07999999984,-20899.21660000008,1585625.0,0,1,0,0
2025-05-22 12:00:00+00:00,2650.75,2679.99,2623.14,2664.48,143113.8209,0.0001,0.00011787999999999984,0.0004996399999999999,1.1137722142979882,0.0,0.0,623401.347,693539.3980000002,-70138.05100000021,0.4733708402347289,0.48954668257782963,-1.2223493280073268,-129937.39100000006,-26064.392000000003,1374971.0,0,1,0,0
2025-05-22 16:00:00+00:00,2664.48,2676.3,2626.37,2634.51,81782.0817,0.0001,0.00011787999999999984,0.0004996399999999999,1.1137722142979882,0.0,0.0,408588.087,468277.79400000005,-59689.70700000005,0.465964175198647,0.4878033661110077,-1.5663423808757022,-152149.32000000018,-32541.56760000003,917911.0,1,0,0,0
2025-05-22 20:00:00+00:00,2634.68,2665.9,2627.85,2664.82,60057.7974,0.0001,0.00021140999999999985,0.0005078299999999998,1.05630654970288,0.0,0.0,252394.281,229673.76200000002,22720.51899999997,0.5235656763914549,0.49111088427047606,1.8275863613470509,-107107.23900000029,-33381.31580000004,541204.0,1,0,0,0
2025-05-23 00:00:00+00:00,2664.83,2734.23,2645.16,2722.0,187067.1541,0.0001,0.00021140999999999985,0.0005078299999999998,1.05630654970288,0.0,0.0,804765.491,765595.545,39169.945999999996,0.5124716371274001,0.4947584883056895,1.1274096551516217,2200.7579999999143,-18051.771000000055,1401805.0,1,0,0,0
2025-05-23 04:00:00+00:00,2722.0,2725.96,2651.35,2655.2,136416.5241,0.0001,0.00030000000000000003,0.0005276999999999999,1.0070166600611352,0.0,0.0,596639.323,703643.7089999999,-107004.38599999994,0.4588534252287313,0.4904839628595254,-1.8109490894842828,-45113.92099999997,-34988.33580000006,1170852.0,1,0,0,0
2025-05-23 08:00:00+00:00,2655.2,2689.21,2551.0,2566.79,174275.1796,0.0001,0.00030000000000000003,0.0005596299999999999,1.0070166600611352,0.0,0.0,848314.992,985100.4460000001,-136785.45400000014,0.46269654679323147,0.4872709050773831,-1.47554918867165,-204619.8940000001,-48317.81640000005,1409905.0,1,0,0,0
2025-05-23 12:00:00+00:00,2566.78,2591.95,2498.3,2568.53,287915.0191,0.0001,0.00030000000000000003,0.0005596299999999999,1.0070166600611352,0.0,0.0,1201814.99,1221930.0399999998,-20115.049999999814,0.49585041954681186,0.48797215168139696,0.3309273792909162,-263904.8899999999,-40402.884999999995,2086814.0,0,1,0,0
