entry_time,exit_time,symbol,direction,strategy,regime,score,entry_price,exit_price,qty,stop_loss,trail_stop,pnl,pnl_pct,exit_reason
2024-09-19 00:00:00+00:00,2024-09-26 12:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,56.721814143803115,62229.8024,65204.2906,0.057472,62315.49,0.0,170.9498,4.78,take_profit
2024-10-24 12:00:00+00:00,2024-10-25 00:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,65.76617181951751,67823.0822,67762.0552,0.08514,67884.2468,0.0,-5.1958,-0.09,breakeven
2025-01-06 04:00:00+00:00,2025-01-06 12:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,55.1768677716021,99497.4737,99394.7948,0.069306,99574.0281,0.0,-7.1163,-0.103,breakeven
2025-01-13 12:00:00+00:00,2025-01-13 20:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,60.51871761014988,91957.9272,94555.9673,0.041397,94386.0724,0.0,-107.5511,-2.825,stop_loss
2025-02-24 16:00:00+00:00,2025-02-24 20:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,51.6384886594522,93774.4117,93861.3445,0.063184,93692.6976,0.0,-5.4928,-0.093,breakeven
2025-03-03 20:00:00+00:00,2025-03-04 00:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,57.310130132688506,86065.4129,86025.9246,0.024832,85871.3562,0.0,0.9806,0.046,breakeven
2025-03-10 12:00:00+00:00,2025-03-11 00:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,70.26694881570185,79899.7711,79874.3765,0.028611,79730.861,0.0,0.7266,0.032,breakeven
2025-04-08 16:00:00+00:00,2025-04-09 16:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,52.76320267717758,76715.7127,79843.9923,0.03251,79700.5313,0.0,-101.7004,-4.078,stop_loss
2025-05-06 20:00:00+00:00,2025-05-08 00:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,56.46911914449746,97008.3212,96917.3846,0.060922,97092.1505,0.0,-5.54,-0.094,breakeven
2025-05-20 16:00:00+00:00,2025-05-21 12:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,54.236793283250506,107219.1176,107137.7466,0.044752,107330.9423,0.0,-3.6415,-0.076,breakeven
2025-08-10 04:00:00+00:00,2025-08-10 20:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,50.03019126563588,118020.3549,117890.889,0.06304,118103.4753,0.0,-8.1615,-0.11,breakeven
2025-08-25 08:00:00+00:00,2025-08-25 20:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,50.224261724296866,111014.7831,111108.7431,0.047743,110909.1067,0.0,-4.4859,-0.085,breakeven
2025-09-16 16:00:00+00:00,2025-09-17 12:00:00+00:00,BTC/USDT,long,trend_follow,trending_bull,54.60642194268328,117010.3602,115342.7502,0.073079,115550.7415,0.0,-121.8673,-1.425,stop_loss
2025-09-25 12:00:00+00:00,2025-09-25 16:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,69.90147868533005,111379.9246,111498.455,0.062765,111298.1184,0.0,-7.4396,-0.106,breakeven
2025-10-16 12:00:00+00:00,2025-10-17 04:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,66.5194859412919,108353.8214,108397.9239,0.031943,108203.1582,0.0,-1.4088,-0.041,breakeven
2026-02-11 04:00:00+00:00,2026-02-13 16:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,57.10963518286377,66912.0611,69545.835,0.037685,69420.8774,0.0,-99.2538,-3.936,stop_loss
2026-03-08 20:00:00+00:00,2026-03-09 00:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,54.30030737423166,65852.4518,67736.7186,0.054145,67615.0116,0.0,-102.0236,-2.861,stop_loss
2026-03-22 20:00:00+00:00,2026-03-23 08:00:00+00:00,BTC/USDT,short,trend_follow,trending_bear,57.09287488045481,67736.8538,69408.7981,0.061739,69284.0867,0.0,-103.2242,-2.468,stop_loss
