entry_time,exit_time,symbol,direction,strategy,regime,vol_score,entry_price,exit_price,qty,stop_loss,trail_stop,pnl,pnl_pct,exit_reason,commission
2023-12-03 00:00:00+00:00,2023-12-04 00:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,59.2,39451.996,40752.453,0.078863,39491.355,40825.94,102.5579,3.296,trail_stop_partial,18.6342
2023-12-10 08:00:00+00:00,2023-12-11 00:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.8,43816.7484,42830.4,0.11536,42907.633,0.0,-113.7855,-2.251,stop_loss,18.1642
2024-01-19 12:00:00+00:00,2024-01-19 20:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,57.1,40821.0995,42128.29,0.081749,42052.598,0.0,-106.8616,-3.202,stop_loss,12.0352
2024-01-22 00:00:00+00:00,2024-01-22 12:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,56.8,41122.8853,40487.273,0.071417004,41079.867,40414.53,45.3936,1.546,trail_stop_partial,17.6531
2024-01-23 00:00:00+00:00,2024-01-23 12:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,59.2,39928.4392,38711.688,0.051847,39870.348,38642.133,63.0848,3.047,trail_stop_partial,12.4433
2024-02-19 20:00:00+00:00,2024-02-20 12:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,57.8,51867.9245,51831.43,0.090833,51924.895,0.0,-3.315,-0.07,breakeven,16.9303
2024-03-05 16:00:00+00:00,2024-03-05 20:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.6,61521.5198,61589.406,0.02739,61700.47,0.0,1.8594,0.11,breakeven,6.0554
2024-03-31 12:00:00+00:00,2024-04-01 04:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,59.1,70507.816,68849.68,0.067516,68973.836,0.0,-111.9505,-2.352,stop_loss,17.1067
2024-04-16 12:00:00+00:00,2024-04-19 04:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,55.9,61651.028,65009.855,0.02999,64893.05,0.0,-100.7313,-5.448,stop_loss,6.6681
2024-04-30 20:00:00+00:00,2024-05-01 08:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,57.4,60562.7904,56813.582,0.027775,60457.0,56711.5,104.1343,6.191,trail_stop_partial,10.1108
2024-05-01 20:00:00+00:00,2024-05-03 12:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,56.9,58259.9131,61089.805,0.036128,60980.043,0.0,-102.2383,-4.857,stop_loss,7.591
2024-05-19 08:00:00+00:00,2024-05-19 16:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.6,67451.194,65941.0,0.073581,66059.91,0.0,-111.1217,-2.239,stop_loss,17.8352
2024-06-04 16:00:00+00:00,2024-06-05 20:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,55.6,70550.3625,71109.18,0.037517,70630.54,71237.41,20.9653,0.792,trail_stop_partial,15.8524
2024-06-06 12:00:00+00:00,2024-06-07 16:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,57.4,71428.34,69872.66,0.071204,69998.66,0.0,-110.7712,-2.178,stop_loss,18.2766
2024-06-16 08:00:00+00:00,2024-06-17 16:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,55.1,66373.1429,65353.6,0.046186,66307.69,65236.18,47.0884,1.536,trail_stop_partial,18.4261
2024-06-25 00:00:00+00:00,2024-06-30 20:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,55.5,61192.2453,63061.805,0.055829,62948.5,0.0,-104.3756,-3.055,stop_loss,12.3209
2024-07-03 16:00:00+00:00,2024-07-04 00:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,61.6,59563.692,59590.777,0.060884,59483.71,0.0,-1.6491,-0.045,breakeven,13.0789
2024-08-04 16:00:00+00:00,2024-08-05 00:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,59.3,59150.9962,56213.562,0.022382,59023.918,56112.56,65.7457,4.966,trail_stop_partial,7.9578
2024-08-05 16:00:00+00:00,2024-08-07 08:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,56.9,53373.8438,57761.637,0.02203,57657.855,0.0,-96.6631,-8.221,stop_loss,4.2406
2024-08-27 12:00:00+00:00,2024-08-27 20:00:00+00:00,BTC/USDT,long,vol_model_ema_bull,trending_bull,59.4,61820.2064,60200.703,0.065214,60309.266,0.0,-105.6141,-2.62,stop_loss,14.4875
2024-09-04 00:00:00+00:00,2024-09-04 16:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,56.6,56552.0028,58490.938,0.052102,58385.848,0.0,-101.0223,-3.429,stop_loss,10.6264
2024-09-06 20:00:00+00:00,2024-09-09 16:00:00+00:00,BTC/USDT,short,vol_model_ema_bear,trending_bear,56.2,53865.8367,56136.89,0.04304,56036.023,0.0,-97.746,-4.216,stop_loss,8.3612
