entry_time,exit_time,symbol,direction,strategy,regime,vol_score,entry_price,exit_price,qty,stop_loss,trail_stop,pnl,pnl_pct,exit_reason,commission
2023-12-24 16:00:00+00:00,2023-12-25 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,65.1,115.3673,115.7158,9.096986,115.9245,0.0,3.1706,0.302,breakeven,3.7714
2023-12-25 16:00:00+00:00,2023-12-26 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,70.8,121.4783,108.2876,7.78911,108.4829,0.0,-102.7436,-10.858,stop_loss,3.4002
2024-01-23 08:00:00+00:00,2024-01-24 04:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,65.2,80.0756,86.791,15.353545,86.6351,0.0,-103.1058,-8.386,stop_loss,4.434
2024-02-11 08:00:00+00:00,2024-02-12 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.3,109.9175,105.097,21.983658,105.2865,0.0,-105.9726,-4.386,stop_loss,8.6834
2024-02-15 12:00:00+00:00,2024-02-16 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.5,114.2553,108.2069,17.068657,108.402,0.0,-103.2385,-5.294,stop_loss,7.008
2024-02-29 16:00:00+00:00,2024-03-05 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,65.0,130.4243,130.7027,9.491061,130.9384,0.0,2.6424,0.213,breakeven,4.4483
2024-03-15 04:00:00+00:00,2024-03-15 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.6,176.3869,184.0366,3.554439,177.2079,184.3685,27.1905,4.337,trail_stop_partial,3.755
2024-03-16 04:00:00+00:00,2024-03-18 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.3,193.2873,207.6512,3.198803,194.2035,208.0257,45.9475,7.431,trail_stop_partial,3.7031
2024-03-31 20:00:00+00:00,2024-04-01 04:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.1,202.8144,193.0112,10.617088,193.3592,0.0,-104.082,-4.834,stop_loss,7.7379
2024-04-27 00:00:00+00:00,2024-04-30 12:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,63.3,136.0547,127.6472,6.142532,135.5761,127.4179,51.6431,6.179,trail_stop_partial,5.0234
2024-04-30 12:00:00+00:00,2024-04-30 16:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.2,127.53,127.3514,12.165507,127.1226,0.0,2.1726,0.14,breakeven,5.5954
2024-05-01 12:00:00+00:00,2024-05-01 16:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,62.2,123.1779,132.7271,10.600607,132.4886,0.0,-101.2269,-7.752,stop_loss,4.7092
2024-05-20 00:00:00+00:00,2024-05-20 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,63.5,172.4599,178.5091,6.643481,172.9059,178.831,40.1877,3.508,trail_stop_partial,6.8621
2024-05-23 04:00:00+00:00,2024-05-23 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,63.5,177.7594,167.2152,9.675224,167.5167,0.0,-102.0178,-5.932,stop_loss,6.1804
2024-06-08 00:00:00+00:00,2024-06-11 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.4,162.9929,155.6,13.929364,155.8806,0.0,-102.9782,-4.536,stop_loss,8.1587
2024-06-14 12:00:00+00:00,2024-06-17 00:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,62.0,143.5212,151.7482,12.209724,151.4756,0.0,-100.45,-5.732,stop_loss,6.3199
2024-06-23 12:00:00+00:00,2024-06-24 04:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.4,131.3432,123.8676,10.027594,131.0532,123.645,74.9628,5.692,trail_stop_partial,7.9166
2024-06-24 12:00:00+00:00,2024-06-25 00:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,62.7,126.0826,133.0781,14.412893,132.83899,0.0,-100.8253,-5.548,stop_loss,6.5538
2024-07-04 20:00:00+00:00,2024-07-06 00:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,64.5,127.6299,137.2997,10.126494,137.05301,0.0,-97.9212,-7.576,stop_loss,4.6612
2024-07-18 04:00:00+00:00,2024-07-19 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.9,158.9456,163.1232,7.387421,159.334,163.4174,30.862,2.628,trail_stop_partial,7.0325
2024-07-19 08:00:00+00:00,2024-07-19 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.8,162.9428,169.5967,6.768354,163.3678,169.9025,45.0357,4.084,trail_stop_partial,6.6052
2024-07-21 16:00:00+00:00,2024-07-21 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,63.4,178.3004,178.4025,11.43979,178.7242,0.0,1.168,0.057,breakeven,7.3298
2024-07-24 08:00:00+00:00,2024-07-25 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,63.3,178.08,168.154,10.031211,168.4572,0.0,-99.57,-5.574,stop_loss,6.4193
2024-08-26 20:00:00+00:00,2024-08-27 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.0,157.4028,150.1228,13.725171,150.3935,0.0,-99.9194,-4.625,stop_loss,7.7634
2024-09-01 04:00:00+00:00,2024-09-02 08:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.9,132.5709,127.9557,8.423444,132.2337,127.7258,38.876,3.481,trail_stop_partial,6.7123
2024-09-29 04:00:00+00:00,2024-09-30 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,64.2,155.7599,159.0254,9.448511,156.0652,159.3121,30.8536,2.096,trail_stop_partial,8.8143
2024-09-30 04:00:00+00:00,2024-10-01 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,67.0,157.1423,150.3146,14.672337,150.5857,0.0,-100.1778,-4.345,stop_loss,8.2854
2024-10-14 16:00:00+00:00,2024-10-17 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,63.9,155.9402,149.7808,16.233747,150.0509,0.0,-99.99,-3.95,stop_loss,9.097
2024-10-19 16:00:00+00:00,2024-10-20 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,65.1,156.6515,160.5021,9.945277,156.9372,160.7915,38.295,2.458,trail_stop_partial,9.3309
2024-10-20 16:00:00+00:00,2024-10-20 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.7,160.6687,160.6552,17.318195,160.9449,0.0,-0.2339,-0.008,breakeven,9.999
2024-10-23 04:00:00+00:00,2024-10-23 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.7,166.0383,166.1079,12.799922,166.4074,0.0,0.8904,0.042,breakeven,7.6373
2024-10-24 20:00:00+00:00,2024-10-25 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.7,177.5089,169.2476,11.872642,169.5528,0.0,-98.0834,-4.654,stop_loss,7.5734
2024-11-09 12:00:00+00:00,2024-11-10 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.1,198.7571,206.2676,5.577566,199.2574,206.6395,41.89,3.779,trail_stop_partial,6.6395
2024-11-10 12:00:00+00:00,2024-11-10 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,71.8,212.612,199.6932,7.423164,200.0533,0.0,-95.8983,-6.076,stop_loss,5.6715
2024-11-23 12:00:00+00:00,2024-11-24 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.2,260.1775,245.6908,6.587274,246.1338,0.0,-95.428,-5.568,stop_loss,6.1588
2024-12-17 12:00:00+00:00,2024-12-19 00:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,62.1,220.133,200.6415,4.623542,219.539,200.281,90.1198,8.854,trail_stop_partial,6.1178
2024-12-19 16:00:00+00:00,2024-12-20 08:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.8,191.5346,191.128,6.12218,190.7846,0.0,2.4893,0.212,breakeven,4.229
2025-01-06 12:00:00+00:00,2025-01-07 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,69.8,222.0189,212.8363,10.683354,213.2201,0.0,-98.101,-4.136,stop_loss,8.5235
2025-01-12 12:00:00+00:00,2025-01-13 08:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.5,190.1072,176.1727,6.6517606,189.6897,175.8562,92.6887,7.33,trail_stop_partial,7.601
2025-01-13 12:00:00+00:00,2025-01-14 08:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.5,178.4782,189.1636,9.010894,188.8237,0.0,-96.2848,-5.987,stop_loss,5.8001
2025-01-18 08:00:00+00:00,2025-01-18 12:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,73.5,239.3801,239.8442,5.105494,240.2767,0.0,2.3695,0.194,breakeven,4.3918
2025-01-19 08:00:00+00:00,2025-01-19 20:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,75.3,286.7552,255.2447,2.927235,255.705,0.0,-92.2385,-10.989,stop_loss,3.0164
2025-02-24 12:00:00+00:00,2025-02-24 20:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.1,152.3852,152.1789,9.492942,151.9055,0.0,1.9581,0.135,breakeven,5.2171
2025-02-25 12:00:00+00:00,2025-02-28 04:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.4,138.64,126.7298,4.266322,138.0053,126.5021,50.8128,8.591,trail_stop_partial,3.5553
2025-03-02 16:00:00+00:00,2025-03-03 08:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,63.0,171.8701,158.2867,3.496042,171.0886,158.0023,47.4882,7.903,trail_stop_partial,3.6117
2025-03-10 12:00:00+00:00,2025-03-11 00:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.7,121.7405,121.3941,8.128202,121.176,0.0,2.8155,0.285,breakeven,3.5687
2025-04-02 08:00:00+00:00,2025-04-02 16:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.4,125.4638,131.9685,14.899948,131.73141,0.0,-96.92,-5.185,stop_loss,6.742
2025-04-07 00:00:00+00:00,2025-04-07 04:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.4,103.0841,102.8708,11.452122,102.686,0.0,2.4424,0.207,breakeven,4.2576
2025-04-21 00:00:00+00:00,2025-04-22 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,62.1,139.6409,146.973,8.842787,139.9556,147.238,64.836,5.251,trail_stop_partial,7.3956
2025-04-23 04:00:00+00:00,2025-04-28 00:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,60.0,151.8528,144.42,13.040805,144.6804,0.0,-96.9299,-4.895,stop_loss,7.1162
2025-05-08 20:00:00+00:00,2025-05-09 08:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.6,164.756,164.8069,8.011176,165.1041,0.0,0.4079,0.031,breakeven_partial,7.9051
2025-05-10 20:00:00+00:00,2025-05-12 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,65.6,178.2102,168.6648,10.020919,168.9689,0.0,-95.6541,-5.356,stop_loss,6.4174
2025-05-18 00:00:00+00:00,2025-05-18 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,61.4,167.2004,175.8213,6.533426,167.6215,176.1383,56.3238,5.156,trail_stop_partial,6.5426
2025-06-02 20:00:00+00:00,2025-06-05 16:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,62.7,156.5477,144.9622,7.5433626,156.1798,144.7018,87.3932,7.401,trail_stop_partial,7.0982
2025-06-20 08:00:00+00:00,2025-06-20 12:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.1,147.9033,147.849,14.734661,147.5834,0.0,0.7995,0.037,breakeven,7.8596
2025-06-21 12:00:00+00:00,2025-06-22 00:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,61.2,140.0475,133.9808,8.451603,139.7141,133.7401,51.2732,4.332,trail_stop_partial,7.1146
2025-06-22 12:00:00+00:00,2025-06-23 12:00:00+00:00,SOL/USDT,short,vol_model_regime=trending_bear,trending_bear,60.5,128.3186,136.356,12.053133,136.11101,0.0,-96.8758,-6.264,stop_loss,5.5779
2025-07-10 12:00:00+00:00,2025-07-10 16:00:00+00:00,SOL/USDT,long,vol_model_regime=trending_bull,trending_bull,63.5,156.7116,156.705,17.208216,156.9876,0.0,-0.1132,-0.004,breakeven,9.6908
